index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
0,254.4964541,-0.656626038,14,0,3,0,23426
1,152.8466573,-5.096773268,6,0,0,1,19215
2,195.5151768,13.68077492,12,0,3,1,20391
3,182.4237861,3.093410884,7,0,0,1,38093
4,195.5087851,8.002605201,5,0,3,1,11153
5,245.0545154,13.81932867,8,0,3,0,14248
6,178.1426414,-3.028779846,5,0,0,1,24674
7,178.7334699,13.43225085,13,0,0,1,25339
8,201.6793984,5.424598868,8,0,3,1,25897
9,248.9324824,0.027128316,4,0,3,0,28378
10,200.5640349,-3.835938824,4,0,3,1,18951
11,169.538264,-2.705820061,5,0,0,1,15825
12,235.065024,-0.023464334,15,0,3,0,33275
13,240.9494097,0.034403591,5,0,3,0,28238
14,166.039906,-0.014127447,7,0,0,1,38356
15,150.6394529,6.26928641,11,0,0,1,20918
16,243.8941161,0.03251147,12,0,3,0,39360
17,243.0123274,10.69099819,8,0,3,0,13643
18,183.0089854,3.475403119,13,0,0,1,33519
19,218.7375921,-0.119621473,5,0,3,1,2654
20,194.0296965,7.529049298,6,0,3,1,20391
21,206.6071915,14.0616984,11,0,3,1,18351
22,160.0980031,-2.140185755,6,0,0,1,14786
23,160.5969045,-1.819875289,4,0,0,1,30323
24,207.764276,0.563580128,11,0,3,1,40896
25,198.2955449,2.273195671,7,0,3,1,22253
26,155.7785149,1.253593419,8,0,0,1,17706
27,212.3581618,13.35671258,7,0,3,1,17972
28,204.0655163,-3.606105287,4,0,3,1,23589
29,177.0219612,-2.520729001,14,0,0,1,30797
30,240.9215747,0.032531443,8,0,3,0,28238
31,170.4086252,15.02962897,11,0,0,1,13269
32,200.6672342,-5.222977445,4,0,3,1,19919
33,244.7677694,0.001881045,4,0,3,0,29520
34,200.1803424,10.30485862,10,0,3,1,21894
35,247.3375033,-8.545652841,14,0,3,0,15574
36,244.715006,12.13748878,5,0,3,0,17873
37,180.1414513,-4.667926008,15,0,0,1,7229
38,190.8045137,1.994079022,4,0,0,1,40989
39,219.1559707,10.15772053,9,0,3,1,21726
40,256.412935,9.456428068,7,0,3,0,23553
41,246.4289198,-11.74942022,12,0,3,0,41894
42,177.0432216,5.9376415,9,0,0,1,3428
